Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,9/21/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24271.94042,,,,,,,
Afghanistan,AFG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.570573,376.7587142,364.095436,389.4163578,397.9859047,440.3681553,444.9501379,524.8235332,553.3002894,569.2333877,630.4274126,633.6584113,630.320014,620.056525,617.8899723,618.33279
Angola,AGO,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,2333.597931,2154.997436,2079.061213,2090.165524,2141.037091,2146.68485,2145.833217,2174.266547,2248.263452,2189.624487,2054.294847,2011.527776,1833.491144,1348.484358,1323.34467,1476.231169,1628.994844,1700.391855,1732.471967,1720.825359,1720.411654,1735.521928,1906.529203,1924.286586,2046.826178,2387.825414,2741.712283,3259.232322,3579.702774,3537.619888,3531.416878,3539.543078,3592.623771,3705.255352,3746.660488,3729.003541,3576.186894,3484.599515
Albania,ALB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,2110.633218,2187.642806,2205.052944,2182.631918,2110.441428,2104.308584,2180.372091,2120.422839,2051.24357,2193.263825,1947.883545,1379.816978,1288.258965,1420.573288,1547.954353,1764.699296,1937.290072,1738.16646,1906.717261,2177.896633,2337.942386,2547.377316,2663.140477,2827.455778,3001.408618,3189.395111,3383.893726,3610.727554,3775.380988,3928.338638,4094.358832,4210.082199,4276.92155,4327.644518,4413.561583,4524.644432,4683.800213,4868.197347
Andorra,AND,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,42137.51899,41883.14121,43051.22318,44201.72808,44648.38222,43158.00761,43079.8158,42958.89386,42339.33407,41041.86678,40495.69802,38896.62594,37756.4209,36776.51496,35820.93175,35095.99254,34744.39245,35204.98946,35546.64955,35831.62082,35780.51967,35291.71141,34278.6471,32766.05967,32633.82513,32917.64882,34175.26007,37293.28241,38595.72321,40035.48245,40801.54213,41420.84618,42396.3024,45519.49238,47032.86689,48831.92936,49708.40049,48710.66462,43900.9517,41979.8659,39736.35406,38205.77109,38190.58659,39104.30185,40785.04923,41765.92035,42958.55839,43942.93819
Arab World,ARB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,4081.914942,4584.93309,4815.826364,4621.886885,4990.744454,5273.008967,5244.948908,4626.21508,4191.124827,4109.272771,3901.788188,3957.519414,3820.495264,3921.089154,3894.489818,4250.445121,4201.791617,4324.672036,4347.911537,4376.092163,4362.829426,4458.034692,4546.27198,4681.204336,4670.118174,4818.589735,4795.152767,4724.64581,4870.031225,5208.602873,5382.99375,5599.102508,5713.955066,5898.88525,5784.690614,5917.245724,5989.899176,6246.939955,6301.039057,6317.591362,6389.313945,6449.365049,6399.6786
United Arab Emirates,ARE,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,102479.189,102319.7275,107452.1804,92822.3616,100480.4368,113682.0382,110644.5516,97254.06152,87942.90269,86936.84909,79439.28663,63832.13125,62248.92875,57136.0526,60523.22813,67606.91692,64386.09112,62821.15769,60133.19296,60932.27764,61818.23378,62294.12897,64176.48416,61231.22972,59845.03704,62833.25107,60434.67398,58707.00717,59867.28994,60042.59735,56199.02927,53926.5971,48260.01091,43658.94478,37203.39799,35037.89267,35730.32935,36376.45368,37765.71684,39146.11209,40753.88634,41449.68142,41197.16878
Argentina,ARG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,5605.191722,5815.233557,5675.060043,5290.766222,5738.59769,6251.32182,6120.712184,6226.997755,6434.953777,6954.764115,7056.848064,7335.759136,7329.921158,7407.366754,7685.857212,7559.143749,7291.840429,7681.017571,7227.564124,7849.36334,8052.689655,7478.130432,6996.962918,7154.411255,7198.719942,6550.150323,6958.75247,7053.985641,6772.223017,6173.684981,5939.756916,6598.722635,7285.429428,7612.681153,7952.711552,7630.022274,7955.127652,8500.940362,8728.947651,8339.894389,8182.686502,7735.493364,6816.734855,7337.792038,7913.743124,8522.522732,9112.113163,9830.68092,10125.12627,9428.502541,10276.2605,10780.01566,10557.88539,10699.19772,10323.20694,10498.59253,10206.24955,10398.09246
Armenia,ARM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1796.936432,1601.593823,949.0332213,886.0327859,956.4708855,1043.543141,1121.881629,1172.136802,1267.575283,1317.741923,1404.321462,1548.075851,1761.888272,2019.984867,2244.220171,2571.985756,2933.833478,3366.162187,3629.157702,3136.811727,3218.381655,3371.672831,3606.480554,3710.575743,3827.343195,3935.288772,3932.554617,4219.368549
American Samoa,ASM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10613.91154,10630.45365,10661.17354,10644.58107,10282.45659,10619.61365,10500.38584,10199.06015,10352.82276,10442.7265,10000.31107,9711.112717,9779.883487,9884.111866,9614.472672,
